artist_name,genre,popularity,followers,external_url
Liotta Seoul,,23,7413,https://open.spotify.com/artist/5TVvYXtmzb3yeMZIiQdTQi
The Rare Occasions,la indie,66,445360,https://open.spotify.com/artist/1QfpRUtH14JLoY6F6AYmwt
Leaving Time,grungegaze,39,27451,https://open.spotify.com/artist/7uskWkK7rsdbMgE2wDU22Y
Kendrick Lamar,"conscious hip hop, hip hop, rap, west coast rap",92,32731592,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg
CYRIL,,80,259848,https://open.spotify.com/artist/11kt6ggsdxvI8MhyeSMKom
Dombresky,"bass house, electro house, house, tech house",50,119508,https://open.spotify.com/artist/2GVtgxcx7jg5xVCZsIHSGN
Slomosa,"norwegian prog, norwegian rock",40,31682,https://open.spotify.com/artist/0l7GXb53ndWn97ul8Hpfzd
BONES UK,slayer,49,87943,https://open.spotify.com/artist/16kd5X3pBMOtXdLlX5LcAw
PIAO,,29,5950,https://open.spotify.com/artist/3WRVVRVjdDenvXlJgs2WXb
JVKE,"modern indie pop, pov: indie, singer-songwriter pop",76,4818940,https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK
Nile Rodgers,disco,74,145911,https://open.spotify.com/artist/3yDIp0kaq9EFKe07X1X2rz
Sia,pop,84,28536553,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN
Lady Gaga,"art pop, dance pop, pop",89,31420943,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
The Verve,"britpop, permanent wave, rock, shoegaze",68,2389063,https://open.spotify.com/artist/2cGwlqi3k18jFpUyTrsR84
Eminem,"detroit hip hop, hip hop, rap",93,90018816,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
Sam Feldt,"edm, pop dance, tropical house",70,778011,https://open.spotify.com/artist/20gsENnposVs2I4rQ5kvrf
Lenny Kravitz,"permanent wave, rock",73,3340418,https://open.spotify.com/artist/5gznATMVO85ZcLTkE9ULU7
Radiohead,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock",82,10472001,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb
Blur,"alternative rock, britpop, madchester, permanent wave, rock",71,3442338,https://open.spotify.com/artist/7MhMgCo0Bl0Kukl93PZbYS
The Guess Who,"album rock, classic canadian rock, classic rock, country rock, folk rock, hard rock, mellow gold, rock, singer-songwriter, soft rock",55,739431,https://open.spotify.com/artist/0cQuYRSzlItquYxsQKDvVc
Djo,"pov: indie, psychedelic pop",77,1517643,https://open.spotify.com/artist/5p9HO3XC5P3BLxJs5Mtrhm
Chromeo,"alternative dance, dance rock, filter house, indietronica, neo-synthpop, new rave, nu disco",55,403349,https://open.spotify.com/artist/2mV8aJphiSHYJf43DxL7Gt
