artist_name,genre,popularity,followers,external_url
Lyn Lapid,gen z singer-songwriter,62,724535,https://open.spotify.com/artist/4pfy05cNNTacuOQ6SiSu4v
Peach Pit,"pov: indie, vancouver indie",63,828392,https://open.spotify.com/artist/6fC2AcsQtd9h4BWELbbire
Hannah McFarland,,38,8923,https://open.spotify.com/artist/6wOUwj1qttEQHIkyFjlMdp
Gwen Stefani,"dance pop, pop",75,6643393,https://open.spotify.com/artist/4yiQZ8tQPux8cPriYMWUFP
Michael Kiwanuka,"british soul, neo soul, psychedelic soul, soul",69,1490363,https://open.spotify.com/artist/0bzfPKdbXL5ezYW2z3UGQj
Ashe,alt z,70,1695892,https://open.spotify.com/artist/6P5NO5hzJbuOqSdyPB7SJM
Medium Build,alaska indie,53,86695,https://open.spotify.com/artist/3C6wmSgnZuqxVQyBWujBsn
K-Anthony,gospel amapiano,27,3633,https://open.spotify.com/artist/3I9aGvBiB4q6eQh0ge4VKU
Saba,"alternative r&b, chicago rap",61,777536,https://open.spotify.com/artist/7Hjbimq43OgxaBRpFXic4x
Cochise,"plugg, pluggnb, rage rap",66,798909,https://open.spotify.com/artist/46HzS7yz0c9udVwtbHk1sx
Shygirl,"alternative r&b, art pop, electra, escape room, grimewave, hyperpop",65,289333,https://open.spotify.com/artist/3M3wTTCDwicRubwMyHyEDy
Steve Angello,"dutch house, edm, electro house, house, pop dance, progressive electro house, progressive house",63,612681,https://open.spotify.com/artist/4FqPRilb0Ja0TKG3RS3y4s
Leikeli47,"alternative r&b, escape room, trap queen",46,271163,https://open.spotify.com/artist/0DtXHIvJ8NWBg5pGvsgWnR
yeule,"ambient pop, hyper-rock, hyperpop",53,207115,https://open.spotify.com/artist/1WZarnZpWEv7dDtjAETt4X
Mereba,alternative r&b,57,301442,https://open.spotify.com/artist/294lNTPZfdqyzt8qnxmFiL
Austin Snell,modern country pop,58,86310,https://open.spotify.com/artist/6Hd5hSFd33CfhMqtG3fjtx
Andrea Bocelli,"classical tenor, italian tenor, operatic pop",72,2882697,https://open.spotify.com/artist/3EA9hVIzKfFiQI0Kikz2wo
Declan McKenna,pov: indie,68,1029211,https://open.spotify.com/artist/2D4FOOOtWycb3Aw9nY5n3c
ONE OK ROCK,"j-pop, j-rock",73,5457410,https://open.spotify.com/artist/7k73EtZwoPs516ZxE72KsO
Tears For Fears,"new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop",75,3625553,https://open.spotify.com/artist/4bthk9UfsYUYdcFyqxmSUU
Roy Woods,"canadian contemporary r&b, canadian hip hop",61,1173551,https://open.spotify.com/artist/7mDU6nMUJnOSY2Hkjz5oqM
DC The Don,"melodic rap, rage rap",59,317551,https://open.spotify.com/artist/3YYbAExunnHv5pW7GUZefk
Erick the Architect,underground hip hop,61,184090,https://open.spotify.com/artist/2mQLwfvZtvtTbipKn3xHmK
Bruses,indie triste,56,367737,https://open.spotify.com/artist/5bRLeMl4Tnozmg9wR1pY7y
Presley Regier,,42,23094,https://open.spotify.com/artist/7AAHfakMQan4p04ozZhhwc
Shermanology,"dutch house, tech house",56,49808,https://open.spotify.com/artist/4Siyzg8kWayQfPQsPSl6JI
Fievel Is Glauque,experimental indie,45,33868,https://open.spotify.com/artist/0aCjVhVSBUMVwo7WRrdLiJ
Chiquis,,49,135176,https://open.spotify.com/artist/5QcHBpoxrY7vx3ulMKEvTS
A. Swayze & The Ghosts,"australian garage punk, tassie indie",25,7705,https://open.spotify.com/artist/6rbA09kzdZICoLg7sWbkGd
Ryan Hurd,"contemporary country, country pop, country road, modern country rock",54,258989,https://open.spotify.com/artist/7lDVEkjIURPMyUYwoQRrpw
Ian Munsick,"modern country pop, wyoming roots",62,222747,https://open.spotify.com/artist/7HjGPPtdNuHcK8crc7iNkn
Niko Moon,,57,139839,https://open.spotify.com/artist/6Rw7DRa1dzChBvxGPCpOxU
Steven Lee Olsen,"canadian contemporary country, canadian country",41,21409,https://open.spotify.com/artist/5MW08rvyz59mdceF4urxXO
Brian Kelley,modern country pop,51,41337,https://open.spotify.com/artist/46c50yWMo9wiTgVe1VxBbQ
Trey Lewis,modern country pop,53,107405,https://open.spotify.com/artist/15tTVhFpH8EFXeDgO9xkRO
Abby Anderson,country pop,48,119506,https://open.spotify.com/artist/0WicR9iYAPd0Bi7i3bz9MB
Jamey Johnson,"country, country road, outlaw country",61,789357,https://open.spotify.com/artist/5yhxqYI0JBwUKfXpSEjiM8
Willie Nelson,"classic country pop, classic texas country, country, country rock, nashville sound, outlaw country, singer-songwriter",73,2319512,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3
Willow Avalon,,55,129534,https://open.spotify.com/artist/6EEkobfnenJF603WO8nUrR
